Strain	Phylogroup	ST	Date
ROAR340	B2	357	2000
ROAR342	B2	127	2000
ROAR343	C	23	2000
ROAR345	B1	-	2000
ROAR348	D	69	2000
ROAR349	F	59	2000
ROAR352	B1	67	2000
ROAR354	cladeV	8819	2000
ROAR355	B2	95	2000
ROAR356	B2	95	2000
ROAR357	F	62	2000
ROAR358	B2	1064	2000
ROAR361	A	399	2000
ROAR363	D	1065	2000
ROAR364	B2	95	2000
ROAR366	A	1075	2000
ROAR368	B1	1071	2000
ROAR371	B1	448	2000
ROAR375	A	10	2000
ROAR377	B2	95	2000
ROAR381	A	10	2000
ROAR383	A	1072	2000
ROAR386	B2	95	2000
ROAR387	E	6646	2000
ROAR389	B2	567	2000
ROAR394	A	-	2000
ROAR395	A	10	2000
ROAR396	D	70	2000
ROAR398	A	10	2000
ROAR400	B1	58	2000
ROAR402	B2	73	2000
ROAR403	B1	829	2000
ROAR404	A	10	2000
ROAR406	A	1078	2000
ROAR410	B1	58	2000
ROAR411	A	10	2000
ROAR414	D	405	2000
ROAR416	B2	95	2000
ROAR417	A	10	2000
ROAR420	A	93	2000
ROAR422	G	657	2000
ROAR425	D	1882	2000
ROAR428	B1	388	2000
ROAR430	H	10431	2000
ROAR433	B1	1297	2000
ROAR434	G	657	2000
ROAR436	B2	95	2000
ROAR437	A	10	2000
ROAR440	D	115	2000
ROAR372	B2	491	2000
LBC10a	B2	141	2001
LBC11a	A	93	2001
LBC13a	B2	131	2001
LBC14a	B1	210	2001
LBC15a	B1	1136	2001
LBC16c	A	10	2001
LBC17c	B2	73	2001
LBC18b	A	746	2001
LBC19a	B2	95	2001
LBC1a	A	93	2001
LBC20a	undescribed	-	2001
LBC23a	B1	388	2001
LBC24a	B2	538	2001
LBC25a	A	10	2001
LBC26b	B1	-	2001
LBC27a	E	1629	2001
LBC28a	A	10	2001
LBC29a	B2	-	2001
LBC2a	D	69	2001
LBC30a	D	4576	2001
LBC31a	B1	442	2001
LBC3a	A	93	2001
LBC4b	F	354	2001
LBC5b	D	31	2001
LBC6a	D	405	2001
LBC7a	F	648	2001
LBC9d	A	6807	2001
PAR1-1	B1	1723	2002
PAR10-10	A	399	2002
PAR11-2	B2	357	2002
PAR12-1	B2	452	2002
PAR13-3	B1	40	2002
PAR14-1	B2	452	2002
PAR15-1	B2	131	2002
PAR16-5	C	423	2002
PAR17-2	E	5825	2002
PAR18-2	B1	2035	2002
PAR19-2	B1	2035	2002
PAR2-1	F	59	2002
PAR20-1	B1	6265	2002
PAR21-1	D	-	2002
PAR22-1	B1	906	2002
PAR23-1	B2	73	2002
PAR24-10	D	108	2002
PAR25-7	A	-	2002
PAR26-4	B1	25	2002
PAR27-1	B2	131	2002
PAR3-1	G	657	2002
PAR4-1	B1	210	2002
PAR5-1	A	635	2002
PAR6-1	A	10	2002
PAR7-1	D	139	2002
PAR8-1	B2	421	2002
PAR9-1	B2	357	2002
R1B1I5	B2	3699	2005
R1B13A10	D	69	2005
R1B13A8	B2	127	2005
R1B13B10	B1	847	2005
R1B13B6	A	710	2005
R1B13B7	D	405	2005
R1B13C3	B2	131	2005
R1B13C8	B2	95	2005
R1B13C9	B2	95	2005
R1B13D4	B2	73	2005
R1B13D6	F	62	2005
R1B13E2	B2	390	2005
R1B13E3	D	1394	2005
R1B13E5	B2	95	2005
R1B13F1	B2	95	2005
R1B13F2	B2	73	2005
R1B13F4	C	652	2005
R1B13F7	B2	141	2005
R1B13G5	B2	73	2005
R1B13G8	cladeIII	8084	2005
R1B13G9	D	405	2005
R1B13H1	A	48	2005
R1B13H4	D	69	2005
R1B13H6	G	117	2005
R1B13I5	B2	73	2005
R1B13I6	B2	131	2005
R1B13I8	B2	95	2005
R1B13I9	B2	131	2005
R1B13J3	A	617	2005
R1B15A1	A	540	2005
R1B15A2	D	69	2005
R1B15A3	B2	95	2005
R1B15B1	B2	131	2005
R1B15C2	B2	95	2005
R1B15C3	B2	73	2005
R1B15D3	C	88	2005
R1B15E1	B2	95	2005
R1B15E2	B2	12	2005
R1B15E3	B2	95	2005
R1B15F1	D	69	2005
R1B15G2	D	405	2005
R1B15H1	A	1486	2005
R1B15H2	B1	1079	2005
R1B15I1	G	117	2005
R1B15I2	A	398	2005
R1B15J1	B1	1304	2005
R1B1A1	A	10	2005
R1B1A11	B2	14	2005
R1B1A13	B2	73	2005
R1B1A15	B2	73	2005
R1B1A3	D	405	2005
R1B1A5	B2	131	2005
R1B1A6	B2	95	2005
R1B1A7	B2	73	2005
R1B1A9	F	648	2005
R1B1B10	B2	12	2005
R1B1B11	A	10	2005
R1B1B12	B2	95	2005
R1B1B14	C	1807	2005
R1B1B2	C	88	2005
R1B1B4	B2	73	2005
R1B1B5	B2	404	2005
R1B1B6	C	ND	2005
R1B1B7	B2	141	2005
R1B1B8	G	117	2005
R1B1B9	B1	58	2005
R1B1C1	C	23	2005
R1B1C10	A	617	2005
R1B1C13	D	69	2005
R1B1C15	B2	404	2005
R1B1C3	B2	95	2005
R1B1C5	D	69	2005
R1B1C6	A	1122	2005
R1B1C7	B2	95	2005
R1B1C8	D	69	2005
R1B1C9	D	10917	2005
R1B1D1	D	3729	2005
R1B1D10	G	117	2005
R1B1D11	D	69	2005
R1B1D12	B2	550	2005
R1B1D14	B1	155	2005
R1B1D4	B2	127	2005
R1B1D6	D	130	2005
R1B1D7	B2	73	2005
R1B1E11	D	69	2005
